Horodateur,Genre,Êtes vous?,Quelle était votre série en Terminale ?,Quelle a été votre matière préférée au Lycée?,"Si vous êtes étudiant, quel parcours suivez vous? ou 
Si vous êtes un professionnel, dans quelle domaine exercez vous?",Quel(s) Caractère(s) définissent votre personnalité ?,Quels sont vos centres d’intérêts ?,Êtes vous satisfait de votre parcours académique ?,Votre travail actuel est il en adéquation avec votre parcours académique?,Ou avez vous fait vos études supérieurs ?
26/08/2026 17:37:19,Homme,Encore Etudiant,TGI,De comprendre toujours fonctionner le système qui nous obliger à travailler et d'être resté pauvre quand même ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","L'informatique, les langues , forum , conférence ",4,Oui,ENI Fianarantsoa 
26/08/2026 17:56:55,Femme,Un Professionnel,D,Mathématique,Santé,"Investigateur : Comprendre, Analyser, Resoudre, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer",Lecture,4,Oui,"Madagascae, France"
26/08/2026 18:02:56,Femme,Encore Etudiant,L,"Histoire-géographie, Philosophie, langues","Environnement, Hôtellerie, Tourisme","Social : Prompt à Aider, Enseigner, Accompagner, Conventionnel : Organiser, Gerer, Structurer","Écriture, cuisine et natation ",1,Non,Ouiii
26/08/2026 18:05:43,Femme,Un Professionnel,D,Anglais,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Conventionnel : Organiser, Gerer, Structurer",Musique,4,Oui,IT-U
26/08/2026 18:23:14,Homme,Un Professionnel,S,Maths,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre","Jeux vidéos, football",5,Oui,IT University 
26/08/2026 18:52:26,Homme,Encore Etudiant,S,Anglais,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Social : Prompt à Aider, Enseigner, Accompagner",Jouer aux jeux,3,Oui,Institut Supérieur Polytechnique de Madagascar (ISPM)
26/08/2026 18:56:32,Homme,Encore Etudiant,D,Physique,Génie Civil et Architecture,"Realiste : Manipuler, Construire, Reparer","Musique, guitare, informatique et jeux vidéo",,,Oui
26/08/2026 19:00:31,Homme,Un Professionnel,C,physique,"Informatique / Technologies de l’Information et de la Communication, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",manga & jeux,3,Non,IT University
26/08/2026 19:02:24,Homme,Encore Etudiant,D,Mathématiques,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Lecture, musique, ... ",4,Oui,Andranomena
26/08/2026 19:02:37,Femme,Encore Etudiant,D,SVT,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",Lecture,3,Oui,ENI Fianarantsoa 
26/08/2026 19:04:06,Homme,Encore Etudiant,D,Sciences ,Finances et Comptabilité,"Social : Prompt à Aider, Enseigner, Accompagner, Conventionnel : Organiser, Gerer, Structurer",Sport,5,,Institut supérieur polytechnique de Madagascar (ISPM)
26/08/2026 19:05:50,Femme,Un Professionnel,D,SVT,Communication corporate,"Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer",Lecture,2,Oui,CNTEMAD 
26/08/2026 19:09:52,Homme,Encore Etudiant,A,Mathématiques et physique ,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre",Musique ,3,Non,Esti
26/08/2026 19:11:54,Homme,Encore Etudiant,C,Mathématiques et français ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Artistique : Creer, Imaginer, S'exprimer","Dessiner, jouer aux jeux vidéos, regarder des animés et les matchs de foot, lire des mangas.",3,,
26/08/2026 19:16:07,Homme,Encore Etudiant,TGI,Economie,Économie et Management de Projet,"Entreprenant : Diriger, Convaincre, Negocier","Lecture, voyages, musique.",4,Oui,Escame Madagascar
26/08/2026 19:17:41,Homme,Encore Etudiant,D,Philosophie,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Finances et Comptabilité","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier","Sport, théâtre, musiques",3,,
26/08/2026 19:18:05,Femme,Encore Etudiant,D,"Anglais, SVT","Commerce et Administration des Affaires, Économie et Management de Projet, Communication ","Social : Prompt à Aider, Enseigner, Accompagner, Conventionnel : Organiser, Gerer, Structurer","Lecture, culture étrangère, cuisine",3,Non,"IST-T, Université d’Antananarivo"
26/08/2026 19:23:07,Homme,Encore Etudiant,TGI,Economie,Économie et Management de Projet,"Entreprenant : Diriger, Convaincre, Negocier","Lecture, voyages, musique.",4,Oui,Escame Madagascar
26/08/2026 19:24:06,Homme,Encore Etudiant,TGI,Economie,Économie et Management de Projet,"Entreprenant : Diriger, Convaincre, Negocier","Lecture, voyages, musique.",4,Oui,Escame Madagascar
26/08/2026 19:26:33,Homme,Un Professionnel,A,Histoire géographie ,Génie Industriel / Électro-Mécanique Industrielle,"Conventionnel : Organiser, Gerer, Structurer","Jeux vidéo, lire, danser.",3,,
26/08/2026 19:43:10,Homme,Encore Etudiant,S,Mathématiques,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre","musique, religion",4,,ISPM
26/08/2026 19:45:19,Homme,Encore Etudiant,C,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",Gaming,2,,ENI
26/08/2026 20:02:37,Homme,Encore Etudiant,D,"Mathématiques,Philo,Anglais",Informatique / Technologies de l’Information et de la Communication,"Social : Prompt à Aider, Enseigner, Accompagner, Conventionnel : Organiser, Gerer, Structurer",La musique ,5,,
26/08/2026 20:20:37,Homme,Encore Etudiant,C,EPS,"Informatique / Technologies de l’Information et de la Communication, Finances et Comptabilité","Realiste : Manipuler, Construire, Reparer, Conventionnel : Organiser, Gerer, Structurer","Football, natation, jeux vidéo, yoga, piano",4,Oui,Haute Ecole d'Informatique - HEI
26/08/2026 20:38:48,Femme,Encore Etudiant,D,Mathematique,Informatique / Technologies de l’Information et de la Communication,"Artistique : Creer, Imaginer, S'exprimer, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier",Livre,1,Non,Ispm
26/08/2026 21:12:35,Femme,Encore Etudiant,C,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Conventionnel : Organiser, Gerer, Structurer",Échec ,5,Oui,ENI
26/08/2026 21:13:21,Femme,Encore Etudiant,TGI,Français ,Génie Civil et Architecture,"Artistique : Creer, Imaginer, S'exprimer",Art,2,Non,Ispm
26/08/2026 21:16:52,Homme,Encore Etudiant,C,Eps,Industrie Agroalimentaire,"Investigateur : Comprendre, Analyser, Resoudre",Le sport ,3,Oui,Ispm
26/08/2026 21:28:55,Homme,Un Professionnel,C,Philosophie,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",Jeux d'échecs et lecture ,4,Oui,ITU
26/08/2026 21:41:25,Femme,Un Professionnel,A,Histo-geo et français ,Relation client francophone ,"Artistique : Creer, Imaginer, S'exprimer, Social : Prompt à Aider, Enseigner, Accompagner",La musique /sudoku/ voyager ,4,Non,Cntemad 
26/08/2026 21:46:59,Femme,Encore Etudiant,D,Physique ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Artistique : Creer, Imaginer, S'exprimer","Cinéma, hiking, travel ",2,Non,ISPM
26/08/2026 22:01:26,Homme,Encore Etudiant,D,Mathématique,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer",Jeux video,1,Oui,Fianarantsoa 
26/08/2026 22:56:42,Homme,Un Professionnel,A,Anglais,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Entreprenant : Diriger, Convaincre, Negocier",Internet,1,Non,UAZ
26/08/2026 23:08:57,Homme,Encore Etudiant,C,Eps,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre",Rien,4,,Ispm
26/08/2026 23:49:19,Homme,Un Professionnel,A,Je ne sais pas,Intelligence Artificielle,"Realiste : Manipuler, Construire, Reparer",Hahaha Gagner de l'argent et voyager,3,Oui,
26/08/2026 23:56:56,Homme,Encore Etudiant,S,Math,Génie Civil et Architecture,"Investigateur : Comprendre, Analyser, Resoudre","Lire, dessiner, jouer à des jeux ",4,Oui,IST_T Ampasapito 
27/08/2026 00:22:27,Homme,Encore Etudiant,S,SVT,Finances et Comptabilité,"Conventionnel : Organiser, Gerer, Structurer","Film, Manga, Anime, Novel",2,,Ankatso 
27/08/2026 00:48:49,Homme,Encore Etudiant,D,Physique-Chimie,aéronautique,"Investigateur : Comprendre, Analyser, Resoudre","Les jeux , la resolution de probleme",5,Oui,IT University
27/08/2026 05:19:38,Homme,Encore Etudiant,D,Mathématiques,"Intelligence Artificielle, Électronique / Systèmes Informatiques","Investigateur : Comprendre, Analyser, Resoudre",La tech,2,,
27/08/2026 08:00:40,Homme,Encore Etudiant,D,Science,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Informatique
",4,,
27/08/2026 08:00:47,Homme,Encore Etudiant,D,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Jeux, film, codé",4,,ENI
27/08/2026 08:00:58,Homme,Encore Etudiant,S,Maths,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer",Video Games,2,Oui,
27/08/2026 08:36:26,Femme,Un Professionnel,D,rien,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer",lecture,,Oui,ISPM
27/08/2026 08:36:40,Homme,Encore Etudiant,A,Philosophie ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer","Jeu, Lecture, basket",4,Oui,EMIT
27/08/2026 08:59:37,Homme,Un Professionnel,C,Physique ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre","Échec, sport de combat ",4,Oui,Université côte d'azur France 
